name, x, y
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/not-dense-clusters/2510-14/2_Threshold_Results_1cells/Cell_1/crop_multicolor_Cell_1_max_14.tif,138,41
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/not-dense-clusters/2510-14/2_Threshold_Results_1cells/Cell_1/crop_multicolor_Cell_1_max_14.tif,140,77
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/not-dense-clusters/2510-14/2_Threshold_Results_1cells/Cell_1/crop_multicolor_Cell_1_max_14.tif,135,108
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/not-dense-clusters/2510-14/2_Threshold_Results_1cells/Cell_1/crop_multicolor_Cell_1_max_14.tif,119,137
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/not-dense-clusters/2510-14/2_Threshold_Results_1cells/Cell_1/crop_multicolor_Cell_1_max_14.tif,87,148
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/not-dense-clusters/2510-14/2_Threshold_Results_1cells/Cell_1/crop_multicolor_Cell_1_max_14.tif,59,149
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/not-dense-clusters/2510-14/2_Threshold_Results_1cells/Cell_1/crop_multicolor_Cell_1_max_14.tif,23,126
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/not-dense-clusters/2510-14/2_Threshold_Results_1cells/Cell_1/crop_multicolor_Cell_1_max_14.tif,8,100
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/not-dense-clusters/2510-14/2_Threshold_Results_1cells/Cell_1/crop_multicolor_Cell_1_max_14.tif,0,76
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/not-dense-clusters/2510-14/2_Threshold_Results_1cells/Cell_1/crop_multicolor_Cell_1_max_14.tif,0,48
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/not-dense-clusters/2510-14/2_Threshold_Results_1cells/Cell_1/crop_multicolor_Cell_1_max_14.tif,20,26
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/not-dense-clusters/2510-14/2_Threshold_Results_1cells/Cell_1/crop_multicolor_Cell_1_max_14.tif,40,9
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/not-dense-clusters/2510-14/2_Threshold_Results_1cells/Cell_1/crop_multicolor_Cell_1_max_14.tif,62,0
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/not-dense-clusters/2510-14/2_Threshold_Results_1cells/Cell_1/crop_multicolor_Cell_1_max_14.tif,78,9
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/not-dense-clusters/2510-14/2_Threshold_Results_1cells/Cell_1/crop_multicolor_Cell_1_max_14.tif,104,20
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/not-dense-clusters/2510-14/2_Threshold_Results_1cells/Cell_1/crop_multicolor_Cell_1_max_14.tif,123,30
