name, x, y
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,308,22
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,340,9
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,360,16
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,380,36
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,372,70
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,339,93
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,336,108
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,319,120
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,282,148
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,268,173
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,263,228
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,287,249
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,316,273
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,339,300
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,350,341
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,356,392
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,342,420
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,332,437
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,303,441
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,282,428
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,242,428
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,202,438
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,164,460
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,144,460
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,115,437
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,112,401
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,144,366
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,155,337
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,150,306
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,110,320
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,67,320
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,47,336
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,12,310
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,3,270
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,0,228
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,4,201
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,15,157
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,48,122
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,87,106
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,106,121
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,131,128
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,154,117
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,162,88
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,163,54
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,162,26
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,170,0
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,203,2
/Users/mikhajlo/Documents/Institut_Curie/paper/submission/submission2/dense-cluster-cells/other/0709-4/2_Threshold_Results_1cells/Cell_1/crop_normalized_Cell_1_max_4.tif,223,18
