File name, Name image, cell number, cluster number, cluster size um2, cluster density um-2
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 1, 0.0242, 491.4354
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 2, 0.0968, 512.4631
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 3, 0.0242, 515.5704
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 4, 0.1331, 530.2779
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 5, 0.0121, 499.8483
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 6, 0.0121, 470.5724
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 7, 0.0121, 531.3575
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 8, 0.0121, 480.7855
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 9, 0.1573, 518.4984
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 10, 0.0121, 433.3552
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 11, 0.0363, 471.6555
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 12, 0.0121, 465.2424
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 13, 0.0121, 487.0703
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 14, 0.0242, 480.4948
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 15, 0.0121, 433.3552
