File name, Name image, cell number, cluster number, cluster size um2, cluster density um-2
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 1, 0.0121, 348.7955
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 2, 0.0121, 349.5836
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 3, 0.1573, 440.605
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 4, 0.0121, 328.9094
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 5, 0.1331, 396.4163
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 6, 0.0605, 350.4455
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 7, 0.0726, 337.9053
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 8, 0.0605, 391.0814
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 9, 0.0121, 315.6358
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 10, 0.0121, 343.0356
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 11, 0.0121, 331.668
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 12, 0.0242, 333.3133
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 13, 0.2662, 440.4393
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 14, 0.5808, 440.5021
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 15, 0.0363, 331.9735
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 16, 0.4719, 404.0717
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 17, 0.0121, 351.0876
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 18, 0.0121, 307.2015
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 19, 0.0121, 359.0257
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 20, 0.0242, 353.674
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 21, 0.1573, 361.1
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 22, 0.2904, 468.1903
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 23, 0.0242, 382.5965
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 24, 0.1452, 440.9828
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 25, 0.0121, 299.6813
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 26, 0.0121, 317.7602
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 27, 0.0121, 321.4211
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 28, 0.1089, 461.9519
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 29, 0.0121, 397.6278
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 30, 0.0726, 385.7568
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 31, 0.4719, 650.2451
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 32, 0.0242, 436.3883
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 33, 0.0121, 311.6063
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 34, 0.0121, 397.2653
